	effect_size	metric	column
0	0.3729969776077719	cohens_d	fungal_overgrowth
1	0.25940552120811794	cohens_d	clinical_condition
2	0.24757991864880569	cohens_d	autoimmune
3	0.21251661519579923	cohens_d	non_food_allergies_sun
4	0.20068625452855487	cohens_d	cardiovascular_disease
5	0.194770617033868	cohens_d	mental_illness_type_ptsd_posttraumatic_stress_disorder
6	0.17279776384701434	cohens_d	specialized_diet_modified_paleo_diet
7	0.17084783096381784	cohens_d	specialized_diet_exclude_refined_sugars
8	0.1528303459145201	cohens_d	ibs
9	0.1489907493647816	cohens_d	acid_reflux
10	0.1343494596292173	cohens_d	multivitamin
11	0.12937889921960397	cohens_d	lactose
12	0.12889275996962057	cohens_d	other_supplement_frequency
13	0.10937356808288161	cohens_d	pets_other
14	0.10602444868574255	cohens_d	specialized_diet_other_restrictions_not_described_here
15	0.10238333909906447	cohens_d	allergic_to_shellfish
16	0.09154047855597597	cohens_d	acne_medication_otc
17	0.08662420840723109	cohens_d	nail_biter
18	0.06827440712797832	cohens_d	non_food_allergies_drug_eg_penicillin
19	0.06800593961049536	cohens_d	migraine
20	0.06470119560979484	cohens_d	cat
21	0.058525988945961546	cohens_d	lung_disease
22	0.04912787013737681	cohens_d	add_adhd
23	0.04580914311492737	cohens_d	cancer
24	0.02895357797051521	cohens_d	mental_illness
25	0.02728747067988263	cohens_d	non_food_allergies_pet_dander
26	0.026220048196297748	cohens_d	non_food_allergies_poison_ivyoak
27	0.024702450397627966	cohens_d	dog
28	0.02421432267098296	cohens_d	seasonal_allergies
29	0.007527931772053965	cohens_d	skin_condition
30	0.005708887294923199	cohens_d	non_food_allergies_beestings
31	0.002313757589885362	cohens_d	softener
32	0.10591562536477794	cohens_f	salted_snacks_frequency
33	0.10163367216652579	cohens_f	sugary_sweets_frequency
34	0.091671581529995	cohens_f	milk_cheese_frequency
35	0.09017613651927117	cohens_f	probiotic_frequency
36	0.08742869411354835	cohens_f	prepared_meals_frequency
37	0.08048908644652182	cohens_f	ready_to_eat_meals_frequency
38	0.07460642255417364	cohens_f	frozen_dessert_frequency
39	0.06809150810657882	cohens_f	consume_animal_products_abx
40	0.06547768785200968	cohens_f	pool_frequency
41	0.061519816473833276	cohens_f	antibiotic_history
42	0.06068766671162481	cohens_f	flu_vaccine_date
43	0.05908357481327256	cohens_f	primer_plate
44	0.05900514370161341	cohens_f	sugar_sweetened_drink_frequency
45	0.05681086062619232	cohens_f	deodorant_use
46	0.055345232191145594	cohens_f	flossing_frequency
47	0.05003098141068113	cohens_f	high_fat_red_meat_frequency
48	0.049377367778510615	cohens_f	fruit_frequency
49	0.049096662280310475	cohens_f	fermented_plant_frequency
50	0.04774280540372638	cohens_f	olive_oil
51	0.04596186342905673	cohens_f	last_travel
52	0.044800289302401375	cohens_f	types_of_plants
53	0.043135910820723496	cohens_f	exercise_location
54	0.042160079800165305	cohens_f	fed_as_infant
55	0.04189403412383019	cohens_f	seafood_frequency
56	0.04162044377967608	cohens_f	meat_eggs_frequency
57	0.03881701293179944	cohens_f	sleep_duration
58	0.03782851689793267	cohens_f	one_liter_of_water_a_day_frequency
59	0.03656798674061365	cohens_f	bowel_movement_quality
60	0.03624350882917525	cohens_f	drinking_water_source
61	0.03325845925592081	cohens_f	milk_substitute_frequency
62	0.03003297809765176	cohens_f	artificial_sweeteners
63	0.030019217299445938	cohens_f	homecooked_meals_frequency
64	0.028600508270165158	cohens_f	bowel_movement_frequency
65	0.02728992524181575	cohens_f	appendix_removed
66	0.02479728969187755	cohens_f	exercise_frequency
67	0.024382787338916946	cohens_f	tonsils_removed
68	0.018622008136727455	cohens_f	vegetable_frequency
69	0.018548572321647142	cohens_f	chickenpox
70	0.01821491349146103	cohens_f	vivid_dreams
71	0.017389209186822865	cohens_f	last_move
72	0.016331162972361223	cohens_f	csection
73	0.015755061275021603	cohens_f	gluten
74	0.014512260741339792	cohens_f	race
75	0.012549835389510416	cohens_f	cosmetics_frequency
76	0.011919097185488274	cohens_f	livingwith
77	0.009356622789630075	cohens_f	dominant_hand
78	0.008253734737195853	cohens_f	weight_change
79	0.007955396926055803	cohens_f	diet_type
80	0.005245104633494961	cohens_f	teethbrushing_frequency
81	0.0030645499980689168	cohens_f	smoking_frequency
